"id","title","author","genre","year","description"
"1","Harry Potter and the Half-Blood Prince (Harry Potter  #6)","J.K. Rowling/Mary GrandPré","Fantasy;Young Adult;Fiction;Fantasy","2006","A book titled Harry Potter and the Half-Blood Prince (Harry Potter  #6) written by J.K. Rowling/Mary GrandPré belonging to the Fantasy;Young Adult;Fiction;Fantasy genre."
"2","Harry Potter and the Order of the Phoenix (Harry Potter  #5)","J.K. Rowling/Mary GrandPré","Fantasy;Young Adult;Fiction;Fantasy","2004","A book titled Harry Potter and the Order of the Phoenix (Harry Potter  #5) written by J.K. Rowling/Mary GrandPré belonging to the Fantasy;Young Adult;Fiction;Fantasy genre."
"3","Harry Potter and the Chamber of Secrets (Harry Potter  #2)","J.K. Rowling","Fantasy;Fiction;Young Adult;Fantasy","2003","A book titled Harry Potter and the Chamber of Secrets (Harry Potter  #2) written by J.K. Rowling belonging to the Fantasy;Fiction;Young Adult;Fantasy genre."
"4","Harry Potter and the Prisoner of Azkaban (Harry Potter  #3)","J.K. Rowling/Mary GrandPré","Fantasy;Fiction;Young Adult;Fantasy","2004","A book titled Harry Potter and the Prisoner of Azkaban (Harry Potter  #3) written by J.K. Rowling/Mary GrandPré belonging to the Fantasy;Fiction;Young Adult;Fantasy genre."
"5","Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5)","J.K. Rowling/Mary GrandPré","Fantasy;Young Adult;Fiction;Fantasy","2004","A book titled Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5) written by J.K. Rowling/Mary GrandPré belonging to the Fantasy;Young Adult;Fiction;Fantasy genre."
"6","Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation","W. Frederick Zimmerman","Fiction","2005","A book titled Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation written by W. Frederick Zimmerman belonging to the Fiction genre."
"7","Harry Potter Collection (Harry Potter  #1-6)","J.K. Rowling","Fantasy;Fiction;Young Adult;Fantasy","2005","A book titled Harry Potter Collection (Harry Potter  #1-6) written by J.K. Rowling belonging to the Fantasy;Fiction;Young Adult;Fantasy genre."
"8","The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5)","Douglas Adams","Science Fiction;Fiction;Humor;Fantasy;Classics;Humor","2005","A book titled The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5) written by Douglas Adams belonging to the Science Fiction;Fiction;Humor;Fantasy;Classics;Humor genre."
"9","The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5)","Douglas Adams","Science Fiction;Fiction;Humor;Fantasy;Classics;Humor","2002","A book titled The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5) written by Douglas Adams belonging to the Science Fiction;Fiction;Humor;Fantasy;Classics;Humor genre."
"10","The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1)","Douglas Adams","Science Fiction;Fiction;Humor;Classics;Fantasy;Humor","2004","A book titled The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1) written by Douglas Adams belonging to the Science Fiction;Fiction;Humor;Classics;Fantasy;Humor genre."
